用户ID;消费金额;首页;商品分类;商品介绍;特卖页面;搜索功能;购物车;其他;合计
U00229397;13200;14;11;71;2;2;5;0;105
U00229460;5150;5;4;8;1;1;1;0;20
U00229538;33870;15;13;67;2;3;3;0;103
U00229569;2460;3;4;7;1;1;1;0;17
U00229684;8030;4;3;7;4;0;0;1;19
U00229823;2150;7;3;9;3;0;1;0;23
U00229873;1030;4;0;17;1;5;4;1;32
U00229961;2130;4;3;8;3;0;1;1;20
U00229991;1270;5;6;11;1;1;2;0;26
U00230188;1100;3;2;5;1;0;0;0;11
U00230209;26630;7;9;18;2;2;4;0;42
U00230400;6310;5;1;16;1;5;4;0;32
U00230407;1440;10;7;18;7;2;1;2;47
U00230478;3970;2;0;17;0;5;4;0;28
U00230576;2130;3;2;4;1;0;1;0;11
U00230600;1060;4;2;5;2;0;0;1;14
U00230721;2010;4;3;6;1;0;1;0;15
U00230916;43670;7;0;26;1;9;5;1;49
U00230984;1600;6;9;15;2;2;2;1;37
U00231105;2620;4;5;8;1;0;2;1;21
U00231123;1110;10;5;35;1;12;7;0;70
U00231130;5430;5;7;17;2;2;2;0;35
U00231160;1230;6;7;16;2;2;3;1;37
U00231235;3950;12;4;41;1;14;7;2;81
U00231275;860;3;2;7;3;0;1;0;16
U00231279;2110;5;0;18;0;6;4;1;34
U00231287;18760;7;7;19;2;2;4;1;42
U00231355;5370;6;5;13;0;1;2;0;27
U00231377;4240;3;1;19;0;6;4;0;33
U00231518;6840;9;8;15;2;0;3;2;39
U00231537;1860;3;2;8;2;0;0;1;16
U00231561;7360;8;6;11;4;1;1;1;32
U00231575;2230;4;4;9;1;1;2;0;21
U00231580;1110;9;8;17;1;1;1;1;38
U00231608;15610;5;0;21;0;6;4;1;37
U00231616;4580;7;3;13;4;0;2;0;29
U00231618;10980;5;5;10;1;1;1;0;23
U00231835;1750;5;4;10;1;1;2;0;23
U00231872;1200;4;2;7;3;1;0;1;18
U00231983;11620;4;2;19;1;6;5;1;38
U00232052;6390;3;2;7;1;0;1;0;14
U00232218;11190;6;0;18;0;6;3;2;35
U00232297;1130;9;4;39;0;1;2;0;55
U00232386;980;8;8;13;0;1;2;0;32
U00232409;4160;6;6;11;1;1;2;0;27
U00232433;7710;4;1;5;2;0;1;0;13
U00232523;7400;8;0;31;0;10;5;1;55
U00232731;1300;8;2;10;3;0;1;0;24
U00233019;1240;4;4;9;3;1;0;0;21
U00233096;6400;13;0;39;1;13;7;2;75
U00233142;10360;5;5;10;1;1;2;0;24
U00233164;1230;10;6;46;0;2;2;2;68
U00233180;13380;11;9;24;4;2;3;2;55
U00233220;4500;7;5;10;3;0;0;0;25
U00233309;9510;9;7;19;2;1;1;0;39
U00233492;18320;12;3;34;1;11;7;1;69
U00233521;3980;6;1;8;3;1;0;0;19
U00233551;2950;3;2;7;2;0;1;0;15
U00233591;3940;4;4;10;1;1;2;0;22
U00233763;15190;7;6;13;1;1;3;1;32
U00233889;3190;10;8;51;2;2;4;2;79
U00233986;1400;7;5;14;1;2;2;1;32
U00234044;36410;7;1;18;0;6;3;0;35
U00234056;1100;7;2;8;4;1;0;0;22
U00234077;10680;4;3;6;1;1;1;0;16
U00234093;1880;7;2;21;0;7;4;0;41
U00234164;6840;5;5;11;1;1;2;0;25
U00234304;2250;6;1;20;0;6;4;1;38
U00234320;6860;15;2;58;1;17;10;2;105
U00234429;1490;13;5;48;1;15;8;1;91
U00234494;1170;6;2;11;3;0;1;0;23
U00234536;6650;2;4;9;1;1;2;0;19
U00234587;1670;5;6;14;0;1;2;0;28
U00234697;2120;8;8;16;1;1;3;1;38
U00234712;3890;9;5;46;0;1;3;0;64
U00234810;1690;10;7;47;1;3;2;0;70
U00234816;1620;7;5;13;1;1;2;0;29
U00235017;1510;5;7;13;1;0;2;1;29
U00235144;6820;4;3;7;0;1;1;1;17
U00235326;2600;7;3;7;2;1;2;0;22
U00235452;1190;4;3;9;3;0;0;0;19
U00235516;9400;5;4;9;1;1;2;0;22
U00235544;2610;3;1;5;2;0;0;0;11
U00235558;2170;6;4;11;5;1;1;1;29
U00235579;1610;9;10;22;2;2;4;1;50
U00235604;3360;7;1;22;0;7;5;2;44
U00235721;3340;7;5;29;0;9;5;1;56
U00235729;1720;7;7;12;1;2;2;1;32
U00235776;1580;8;10;21;2;1;3;1;46
U00235831;1160;6;2;27;0;8;4;2;49
U00235907;1780;4;2;8;2;0;0;0;16
U00235947;3410;7;0;30;0;9;6;1;53
U00235958;1100;6;6;11;1;1;3;0;28
U00235975;1210;5;2;9;3;0;0;1;20
U00235983;4890;4;4;8;0;1;1;0;18
U00236014;2350;6;5;15;1;0;2;0;29
U00236335;910;5;4;9;1;0;1;0;20
U00236373;2650;8;4;35;1;1;2;0;51
U00236584;2370;5;1;7;2;1;0;0;16
U00236590;1140;18;10;63;2;3;2;2;100
U00236602;1530;4;4;9;1;1;1;0;20
U00236651;2450;12;10;51;0;1;3;1;78
U00236674;1150;8;5;17;1;1;2;0;34
U00236695;15070;8;2;27;1;9;4;0;51
U00236696;2020;3;3;7;0;1;1;0;15
U00236804;1110;4;1;17;0;4;3;1;30
U00236811;2690;5;1;20;0;5;4;0;35
U00236841;1230;4;4;9;1;1;2;0;21
U00236844;9870;14;2;45;1;13;9;3;87
U00236845;6010;8;5;40;0;2;3;0;58
U00236975;1250;8;5;11;4;1;0;2;31
U00236976;9430;8;6;17;3;1;2;1;38
U00237005;14400;7;1;28;1;9;6;2;54
U00237026;11440;12;8;19;2;0;4;1;46
U00237087;3190;8;3;37;1;2;2;0;53
U00237094;2850;5;0;18;0;5;4;0;32
U00237169;3770;4;4;13;1;1;2;1;26
U00237195;1470;5;4;11;1;1;2;0;24
U00237314;2150;5;5;9;1;1;1;1;23
U00237344;2300;3;1;17;0;5;3;1;30
U00237396;3020;3;3;7;1;0;0;0;14
U00237409;1440;8;8;13;1;1;3;0;34
U00237694;1110;5;5;12;1;1;1;0;25
U00237741;74520;15;10;64;2;5;5;2;103
U00237872;8870;6;0;20;0;6;4;1;37
U00237894;11180;4;3;8;0;1;1;0;17
U00237952;6230;5;3;7;3;0;0;0;18
U00238033;12030;7;0;24;1;8;5;1;46
U00238037;1970;3;2;5;2;0;0;0;12
U00238255;33320;6;0;22;0;7;4;1;40
U00238265;1780;10;5;50;2;2;3;1;73
U00238311;12610;7;3;9;5;0;1;0;25
U00238362;2880;11;1;39;1;12;7;1;72
U00238412;2570;10;3;13;5;0;0;0;31
U00238438;2260;6;7;13;2;1;2;1;32
U00238540;1170;8;6;39;2;0;4;1;60
U00238542;2800;5;8;13;1;1;3;1;32
U00238627;10020;4;0;15;1;5;3;1;29
U00238672;990;4;4;8;1;1;1;0;19
U00238703;2010;18;9;63;1;2;3;1;97
U00238710;7250;7;6;16;2;0;3;0;34
U00238786;2020;10;7;40;1;1;2;0;61
U00238852;1200;4;3;6;3;0;1;0;17
U00238947;4020;9;2;36;1;13;8;2;71
U00239097;1410;5;5;11;1;0;1;0;23
U00239207;21850;10;7;44;1;2;4;1;69
U00239313;2530;10;8;20;0;2;2;1;43
U00239408;8690;7;0;21;0;5;4;1;38
U00239420;1970;4;3;6;2;0;1;1;17
U00239432;1470;5;3;7;3;1;0;1;20
U00239533;25380;2;1;6;2;1;0;0;12
U00239535;1280;5;6;17;1;2;3;0;34
U00239554;1200;8;0;21;0;6;4;0;39
U00239679;1300;8;6;15;1;1;2;0;33
U00239715;2500;12;5;11;4;2;1;0;35
U00239821;2630;5;7;15;2;0;2;1;32
U00239978;4930;9;7;42;0;2;3;2;65
U00240153;23420;4;0;19;0;6;5;0;34
U00240221;2050;12;7;48;0;3;2;0;72
U00240287;1140;7;6;15;1;1;3;1;34
U00240313;3790;6;1;23;1;7;3;1;42
U00240412;3010;5;1;11;4;1;0;1;23
U00240447;5970;2;2;8;1;0;1;0;14
U00240487;14380;9;0;34;1;10;7;0;61
U00240730;1560;4;2;6;2;0;0;0;14
U00240813;1720;5;5;12;1;1;1;1;26
U00240835;12490;3;3;7;1;0;1;0;15
U00240865;1870;13;8;56;1;3;4;1;86
U00240945;1640;7;4;12;1;1;2;0;27
U00241018;4800;6;9;16;1;1;3;0;36
U00241109;5190;5;6;12;1;1;2;0;27
U00241213;1150;6;0;23;0;7;3;0;39
U00241358;17450;5;6;14;2;1;2;0;30
U00241377;16830;6;0;23;0;8;4;0;41
U00241531;2190;5;6;11;1;1;2;0;26
U00241653;3800;7;5;42;0;1;2;1;58
U00241768;1220;3;2;6;2;0;0;0;13
U00241886;1370;3;3;8;1;0;1;0;16
U00242041;1910;3;4;7;1;1;1;0;17
U00242185;1010;3;2;4;2;0;1;0;12
U00242192;1570;6;2;7;3;0;0;1;19
U00242290;1190;3;3;8;0;1;1;0;16
U00242484;19660;6;1;20;1;6;4;2;40
U00242656;3560;25;12;109;2;1;6;2;157
U00242667;13680;5;6;12;1;0;2;0;26
U00242859;1140;8;1;12;5;2;0;0;28
U00242922;3650;6;6;11;1;1;2;0;27
U00243114;2260;3;3;9;3;0;0;0;18
U00243218;12660;6;0;20;1;6;4;1;38
U00243286;15560;5;6;10;1;0;2;1;25
U00243307;5200;7;8;14;2;1;2;0;34
U00243386;32100;10;9;55;2;3;2;2;83
U00243502;1950;4;5;12;1;0;2;0;24
U00243721;2400;5;6;9;1;1;1;0;23
U00243799;3860;7;3;9;3;0;1;0;23
U00243830;2150;10;6;53;0;2;5;2;78
U00243839;3540;4;5;9;1;1;1;0;21
U00243841;1180;12;9;60;1;3;4;0;89
U00243893;1970;3;2;4;2;0;0;0;11
U00243911;5170;4;4;11;1;1;2;1;24
U00243966;2640;8;5;14;5;2;1;0;35
U00243993;13050;6;7;14;0;2;2;0;31
U00244251;28010;16;8;58;0;1;4;2;89
U00244390;1190;4;5;10;1;1;2;0;23
U00244401;1270;5;5;10;1;1;1;0;23
U00244436;5090;7;1;23;1;8;5;1;46
U00244854;3280;3;1;6;1;0;0;0;11
U00244898;25990;9;6;46;2;2;3;0;68
U00244908;2220;6;6;11;1;1;2;0;27
U00244915;8580;5;3;8;1;1;1;1;20
U00245057;1740;7;7;16;2;1;2;0;35
U00245279;1980;5;3;21;1;8;4;0;42
U00245386;6390;5;3;7;3;0;0;0;18
U00245429;3110;9;6;35;1;0;3;2;56
U00245605;1950;6;6;15;1;1;2;0;31
U00245726;2020;4;2;5;3;0;0;1;15
U00245792;2130;18;8;61;3;1;6;2;99
U00245896;2280;5;0;18;0;5;4;1;33
U00246161;1700;4;4;10;1;1;2;1;23
U00246232;3770;8;8;21;3;1;4;0;45
U00246234;10630;5;2;8;3;1;0;1;20
U00246313;1150;4;1;6;3;0;0;0;14
U00246391;42630;6;9;14;2;2;3;0;36
U00246452;13000;5;5;12;0;0;2;0;24
U00246460;970;6;5;13;2;1;2;1;30
U00246722;6140;10;7;44;1;1;2;1;66
U00246840;3020;8;0;27;1;8;5;0;49
U00246970;5930;9;0;27;1;8;6;1;52
U00247129;4480;3;4;9;0;0;2;0;18
U00247164;4380;6;6;12;2;2;1;1;30
U00247220;2850;11;8;48;2;3;3;2;77
U00247299;1500;5;2;10;2;0;1;0;20
U00247421;3170;4;1;17;0;5;3;1;31
U00247457;4250;5;4;11;0;1;2;0;23
U00247476;7270;6;5;12;1;1;2;1;28
U00247701;4960;4;4;7;1;1;1;0;18
U00247771;157330;5;3;26;1;8;5;1;49
U00247804;8890;5;6;14;1;1;2;0;29
U00247871;1050;4;5;11;1;0;1;0;22
U00247932;4710;6;4;8;3;1;1;0;23
U00248036;15940;3;5;8;2;1;2;0;21
U00248116;1360;13;8;68;2;4;5;2;102
U00248131;5440;4;4;12;2;1;1;0;24
U00248189;900;5;2;5;3;0;1;0;16
U00248198;4260;5;7;14;1;1;2;0;30
U00248215;3470;5;5;12;1;1;1;0;25
U00248271;3200;3;2;6;2;0;1;0;14
U00248283;4840;7;0;11;3;1;0;0;22
U00248304;9890;4;5;10;1;1;1;0;22
U00248662;2770;7;1;23;1;6;5;1;44
U00248816;1240;4;1;5;2;1;0;1;14
U00248951;2580;7;1;25;0;7;3;1;44
U00248952;2660;3;1;19;1;7;3;1;35
U00249124;7180;18;6;69;2;2;4;0;101
U00249227;1290;3;3;8;0;0;1;0;15
U00249271;4220;7;9;16;1;0;1;0;34
U00249276;1700;3;2;6;2;0;0;0;13
U00249289;2350;8;4;12;1;1;2;0;28
U00249334;4360;5;0;28;1;8;5;1;48
U00249368;10550;5;3;8;1;1;1;0;19
U00249411;1090;5;2;6;2;1;1;1;18
U00249470;2010;5;2;9;3;1;0;1;21
U00249517;1100;12;6;48;2;3;3;1;75
U00249595;890;6;4;11;1;1;1;0;24
U00249651;990;4;4;9;1;0;1;0;19
U00249672;14380;16;10;67;2;1;2;2;100
U00249867;1550;3;1;5;2;0;0;0;11
U00250062;2150;4;1;23;1;6;4;0;39
U00250128;3970;3;3;7;0;1;1;1;16
U00250136;22840;14;6;56;1;2;3;1;83
U00250170;19330;4;4;9;0;1;1;0;19
U00250231;90020;9;2;31;2;9;5;2;60
U00250278;840;3;4;7;0;0;1;0;15
U00250430;10860;6;5;13;1;1;2;1;29
U00250516;1200;5;3;9;4;0;0;0;21
U00250605;1440;15;7;57;2;1;2;0;84
U00250627;1780;2;2;5;2;0;0;0;11
U00250691;2920;5;8;14;1;0;2;1;31
U00250701;19170;5;5;12;1;1;2;0;26
U00250739;14190;5;5;10;1;1;2;0;24
U00250815;4990;3;1;5;2;0;0;0;11
U00250899;1180;7;0;25;0;7;5;1;45
U00250926;17460;9;2;33;1;11;7;2;65
U00251008;7870;4;4;10;1;1;2;0;22
U00251031;9940;5;4;9;1;1;2;1;23
U00251039;1500;3;3;7;0;0;1;0;14
U00251124;1360;3;2;6;2;0;0;0;13
U00251472;3880;4;5;12;2;1;2;0;26
U00251539;2280;7;2;32;1;8;6;1;57
U00251568;1120;3;1;5;2;0;0;0;11
U00251628;9700;6;7;13;2;1;2;0;31
U00251717;4520;5;1;19;0;6;4;1;36
U00251765;1720;7;3;7;3;1;0;0;21
U00251850;24120;7;6;18;2;2;3;1;39
U00251963;2290;9;0;30;0;8;6;3;56
U00251984;2750;8;8;18;2;2;4;1;43
U00251989;13230;7;0;32;1;11;7;2;60
U00252105;1330;3;1;8;3;1;0;0;16
U00252290;1190;3;4;7;0;0;1;0;15
U00252384;5190;6;5;13;2;1;2;0;29
U00252483;11150;10;8;45;1;2;4;1;71
U00252748;2000;14;9;60;1;1;4;0;89
U00252840;1190;7;7;17;1;0;1;0;33
U00252848;21470;6;0;25;0;8;5;1;45
U00252928;3270;12;4;36;0;9;8;1;70
U00253074;1200;9;5;30;0;0;2;0;46
U00253215;3470;8;9;17;3;2;2;0;41
U00253270;1730;5;1;33;0;9;5;2;55
U00253309;1820;6;5;8;3;0;0;0;22
U00253344;890;3;2;7;3;1;1;0;17
U00253597;3950;3;6;11;1;1;2;1;25
U00253645;1550;3;4;6;1;0;1;0;15
U00253822;2380;6;4;12;1;2;1;0;26
U00253906;14840;7;0;25;0;8;6;1;47
U00253918;1010;3;3;7;1;0;1;0;15
U00254056;940;3;1;4;2;0;1;0;11
U00254169;2730;3;2;20;1;7;3;0;36
U00254260;1540;3;3;7;1;1;1;0;16
U00254327;7120;4;5;10;1;2;1;0;23
U00254513;1590;5;3;10;4;1;0;1;24
U00254548;870;4;3;7;1;1;1;0;17
U00254577;2570;13;3;44;0;15;8;2;85
U00254667;1440;3;3;7;2;0;2;0;17
U00254694;2320;4;6;12;1;1;1;0;25
U00254719;15340;5;7;12;1;1;1;1;28
U00254745;42250;5;3;9;1;1;1;0;20
U00254809;37050;4;2;8;0;1;1;0;16
U00254811;2780;8;3;9;3;0;1;1;25
U00254860;1140;5;5;10;1;1;1;0;23
U00254947;1940;6;1;5;2;0;1;1;16
U00255015;1350;3;2;4;2;0;0;0;11
U00255054;2440;4;5;12;1;1;2;0;25
U00255114;1530;4;3;8;1;0;1;0;17
U00255149;4390;4;2;7;2;0;1;0;16
U00255383;1430;4;3;9;1;1;2;0;20
U00255402;1220;9;7;18;2;2;3;0;41
U00255409;990;14;7;76;0;2;3;2;104
U00255424;3110;12;8;62;3;1;6;1;93
U00255665;2940;6;3;9;3;1;1;0;23
U00255750;4080;6;1;9;3;0;0;0;19
U00255885;1230;5;1;19;0;6;4;1;36
U00255897;1520;7;6;17;2;1;2;0;35
U00256132;1050;7;4;9;5;0;0;2;27
U00256270;2820;3;2;5;2;0;0;0;12
U00256342;12120;7;0;23;0;8;4;2;44
U00256511;1110;8;5;14;1;1;2;1;32
U00256637;1270;4;4;8;1;0;2;0;19
U00256822;37210;5;2;20;1;5;3;1;37
U00256923;920;12;0;44;0;13;9;2;80
U00257039;1570;8;8;16;2;1;3;1;39
U00257053;1360;12;0;46;1;14;9;1;83
U00257233;1200;4;4;8;1;1;1;0;19
U00257323;1260;5;2;7;2;0;1;0;17
U00257387;3800;4;0;6;2;1;0;0;13
U00257495;17000;6;0;24;1;7;4;1;43
U00257940;17090;15;9;59;0;3;4;0;90
U00257997;2020;7;5;14;1;1;2;1;31
U00258134;1030;8;8;15;0;1;4;0;36
U00258175;20360;11;5;40;0;1;2;1;60
U00258322;1270;4;2;6;2;0;0;0;14
U00258626;910;7;5;15;5;0;2;2;36
U00258675;7640;7;9;19;3;2;3;0;43
U00258802;5190;10;13;23;2;3;3;0;54
U00259044;2030;25;10;95;1;2;8;0;141
U00259142;2700;10;0;42;0;9;5;1;67
U00259202;13390;5;6;12;1;1;2;0;27
U00259412;2460;3;2;7;1;1;1;0;15
U00259601;3100;9;8;20;2;1;4;0;44
U00259612;1990;11;9;53;1;2;4;1;81
U00259703;3050;4;2;5;2;0;0;0;13
U00259704;1230;3;2;5;2;1;1;0;14
U00259719;4960;3;1;6;2;0;0;0;12
U00259968;2570;6;1;19;0;5;4;1;36
U00260045;890;3;2;6;2;1;1;0;15
U00260046;1290;7;1;29;0;9;5;0;51
U00260073;1520;6;4;15;1;1;2;0;29
U00260119;1450;6;0;28;0;9;5;2;50
U00260437;20310;7;10;24;0;2;3;0;46
U00260587;1660;4;3;7;2;0;0;1;17
U00260946;32320;5;3;17;1;5;4;0;35
U00260949;2450;10;4;30;1;11;7;2;65
U00261034;32120;24;11;87;0;2;4;2;130
U00261127;15210;9;7;16;2;1;3;1;39
U00261189;8000;14;3;46;0;14;9;1;87
U00261275;7920;7;7;17;1;1;1;0;34
U00261390;2270;5;5;8;2;1;2;0;23
U00261454;3480;9;8;18;1;1;3;0;40
U00261505;1340;3;3;10;1;1;1;0;19
U00261607;3340;4;0;17;0;5;3;1;30
U00261850;1750;7;8;15;1;1;2;1;35
U00261890;2220;6;0;29;1;10;6;2;54
U00262013;4430;4;4;8;1;0;2;0;19
U00262050;4040;6;8;15;2;0;2;1;34
U00262060;1010;5;2;6;2;0;0;0;15
U00262125;18030;5;2;6;2;0;0;0;15
U00262633;21090;8;0;34;1;12;6;1;62
U00262691;1060;4;3;11;4;0;0;0;22
U00262695;6690;21;12;85;0;3;4;2;127
U00262746;4570;8;6;16;1;1;3;0;35
U00262875;5790;10;0;37;0;12;7;0;66
U00263020;29380;6;4;13;1;0;1;1;26
U00263125;4850;3;3;7;1;1;1;0;16
U00263142;3260;4;4;11;4;0;1;1;25
U00263150;11720;5;5;10;0;1;2;0;23
U00263194;2600;5;6;12;1;2;2;0;28
U00263196;4040;6;6;17;2;2;2;1;36
U00263272;2220;4;4;7;1;0;1;0;17
U00263333;1820;13;11;65;2;2;5;0;98
U00263603;1070;3;4;8;1;1;1;0;18
U00263642;7430;4;6;10;0;1;1;1;23
U00263825;7080;10;5;17;1;2;3;1;39
U00264062;4340;5;3;9;1;1;1;0;20
U00264111;1020;5;6;14;1;1;2;0;29
U00264115;6570;16;2;45;1;14;8;1;87
U00264122;7650;8;8;16;1;1;3;0;37
U00264202;3100;6;5;13;1;0;2;0;27
U00264286;21120;4;4;9;1;1;2;1;22
U00264359;82630;5;6;12;1;2;2;0;28
U00264382;1670;4;4;8;1;1;1;0;19
U00264601;2530;14;11;67;2;3;4;2;103
U00264660;1650;4;4;8;1;1;1;0;19
U00264742;3120;8;3;10;5;1;2;0;29
U00264890;19750;4;6;12;1;0;2;0;25
U00264976;980;12;8;45;3;1;2;2;73
U00265068;5810;10;0;28;1;11;6;1;57
U00265156;2440;5;2;9;2;0;0;0;18
U00265233;2940;6;5;12;1;1;1;1;27
U00265250;1090;6;5;11;1;0;2;0;25
U00265251;1210;5;4;11;1;1;1;0;23
U00265589;1990;16;9;75;1;2;6;2;111
U00265787;1850;5;3;7;1;1;1;0;18
U00265833;2080;11;9;55;2;3;3;2;85
U00265875;1730;4;3;7;3;1;0;1;19
U00266105;23210;5;5;12;1;1;2;0;26
U00266244;1140;5;2;9;3;1;0;0;20
U00266251;1000;8;6;15;1;2;2;0;34
U00266379;1670;5;5;10;0;1;2;1;24
U00266450;4460;4;4;10;1;0;1;1;21
U00266630;1110;14;12;23;3;2;5;0;59
U00266725;5660;7;4;32;1;1;2;0;47
U00266769;3640;5;1;23;0;7;5;1;42
U00266794;1260;5;5;12;0;1;1;0;24
U00266900;8180;9;8;19;0;1;1;0;38
U00267064;1670;14;2;53;0;15;13;2;99
U00267109;38160;3;3;7;1;1;1;0;16
U00267136;2550;5;3;9;4;0;1;1;23
U00267194;940;10;0;32;0;9;6;0;57
U00267203;1720;4;4;9;1;1;1;0;20
U00267616;4750;8;7;14;1;2;2;1;35
U00267790;9020;4;0;30;0;9;5;0;48
U00267830;2350;6;6;14;1;1;2;1;31
U00268130;6650;3;3;7;1;1;1;0;16
U00268190;8980;5;1;17;1;5;4;2;35
U00268271;2520;7;4;8;4;0;1;2;26
U00268284;1760;10;12;23;1;2;4;1;53
U00268313;1140;5;5;11;1;1;2;0;25
U00268317;2920;4;2;7;3;1;0;0;17
U00268368;1980;5;4;7;3;0;0;1;20
U00268481;15970;8;10;16;1;1;2;0;38
U00268678;1120;4;4;9;1;1;1;0;20
U00268714;2990;4;4;9;1;0;1;1;20
U00268826;830;8;1;25;1;6;5;1;47
U00269227;920;8;8;47;1;1;3;1;69
U00269364;6290;4;4;8;1;0;1;0;18
U00269431;1020;7;5;39;1;2;3;1;58
U00269531;5040;5;5;13;2;0;2;0;27
U00269542;1440;4;3;7;0;1;2;0;17
U00269583;1680;5;5;10;1;0;1;0;22
U00269637;9640;5;4;8;3;0;1;1;22
U00269703;13170;14;0;48;1;15;10;0;88
U00269738;1450;5;9;19;1;1;3;1;39
U00269754;1790;10;11;61;0;2;4;0;88
U00269998;2870;8;2;26;0;8;5;2;51
U00270129;6840;3;3;6;2;0;1;0;15
U00270171;2540;4;4;8;1;1;1;1;20
U00270444;2230;5;3;9;1;1;2;0;21
U00270719;1800;15;11;58;0;3;3;3;93
U00270924;3990;9;6;44;3;2;3;1;68
U00270946;13630;7;3;20;1;6;4;0;41
U00271183;7960;4;0;16;1;5;4;1;31
U00271370;4390;8;2;33;0;10;5;1;59
U00271962;13150;4;3;6;3;0;1;0;17
U00272088;12980;7;3;30;2;10;7;1;60
U00272122;1880;2;3;8;1;1;1;0;16
U00272132;5190;4;5;8;0;1;1;0;19
U00272230;5960;7;0;28;0;8;5;1;49
U00272722;2240;6;4;38;2;10;8;1;69
U00272728;940;5;1;22;0;6;4;1;39
U00272839;3470;9;1;39;0;11;7;2;69
U00272904;1300;7;4;34;0;1;2;1;49
U00273035;7540;5;1;6;2;0;1;0;15
U00273100;1640;3;3;6;1;0;1;1;15
U00273342;1870;6;4;10;2;2;1;1;26
U00273440;4020;4;1;21;1;5;4;1;37
U00273513;9360;5;3;6;3;1;0;0;18
U00273581;10910;5;5;9;1;0;2;0;22
U00273617;2230;10;7;38;0;2;3;0;60
U00273660;6800;6;7;17;2;1;2;0;35
U00273830;1990;9;8;19;2;2;3;0;43
U00274091;4030;7;1;29;0;8;6;3;54
U00274117;3940;4;3;7;1;1;1;0;17
U00274212;13220;24;12;94;2;5;10;5;152
U00274271;1460;4;1;8;2;0;0;1;16
U00274339;3460;5;3;25;1;7;4;1;46
U00274433;1300;4;1;6;2;0;0;0;13
U00274475;1320;5;5;11;0;2;2;0;25
U00274488;15800;20;14;80;0;4;6;3;127
U00274528;3240;12;8;56;2;2;3;1;84
U00274688;1110;3;2;4;2;0;0;0;11
U00274689;1750;4;4;12;1;1;1;0;23
U00274718;19350;6;6;12;1;1;1;0;27
U00274824;890;5;0;23;0;8;6;0;42
U00275041;3090;16;11;58;1;3;3;0;92
U00275116;1120;5;5;11;1;1;2;1;26
U00275196;970;10;5;13;6;2;0;0;36
U00275240;1200;4;0;5;2;0;0;0;11
U00275292;2540;7;2;33;1;9;8;3;63
U00275310;1710;10;9;19;2;3;3;0;46
U00275377;1190;9;2;31;1;10;6;1;60
U00275448;1840;6;0;21;1;7;4;1;40
U00275634;11450;14;3;43;2;15;7;0;84
U00275881;7440;3;1;5;2;0;0;0;11
U00276056;33990;8;6;13;1;1;2;0;31
U00276136;1490;8;0;33;1;10;6;1;59
U00276140;1460;4;3;8;1;0;2;0;18
U00276234;1150;5;4;10;1;1;1;0;22
U00276386;2680;4;4;8;1;2;2;1;22
U00276446;970;4;2;6;3;1;0;0;16
U00276599;5020;3;4;8;0;2;1;0;18
U00276789;45350;8;1;23;0;6;4;1;43
U00276952;6390;7;0;20;1;6;3;0;37
U00277327;5460;9;3;37;1;12;8;0;70
U00277413;31470;12;6;59;2;3;3;1;86
U00277532;920;6;7;15;1;2;3;1;35
U00277607;1010;5;3;10;1;1;1;0;21
U00277630;6790;10;1;41;1;12;8;3;76
U00277836;3480;8;9;20;2;0;3;1;43
U00277948;4060;2;3;7;1;1;1;0;15
U00277999;3480;11;1;27;1;9;6;1;56
U00278050;3270;18;11;73;2;3;6;2;115
U00278169;1280;3;2;5;1;0;0;0;11
U00278528;6430;6;3;9;3;0;1;1;23
U00278529;1280;11;4;46;2;14;8;1;86
U00278582;3170;9;6;16;1;1;3;0;36
U00278675;1310;5;1;5;2;0;1;0;14
U00278681;1160;4;4;11;1;2;1;1;24
U00278762;1450;4;2;6;3;0;0;0;15
U00278796;11960;15;8;59;0;1;3;0;86
U00278801;1260;8;3;15;5;0;2;0;33
U00278845;1620;6;2;25;1;9;5;1;49
U00278893;8250;4;2;25;1;8;5;1;46
U00279211;9550;20;12;84;0;6;6;3;131
U00279237;3240;8;4;13;4;0;1;0;30
U00279244;2610;5;2;7;2;1;1;0;18
U00279346;6720;3;5;11;1;1;1;0;22
U00279385;2900;4;4;9;1;1;1;0;20
U00279606;2620;5;6;11;1;2;2;1;28
U00279785;1220;3;4;8;1;1;1;0;18
U00279800;44640;5;0;20;0;7;4;1;37
U00279810;11670;9;5;16;2;1;3;0;36
U00279881;970;4;3;10;1;1;1;0;20
U00279998;3240;4;4;9;1;0;2;0;20
U00280091;17040;8;7;16;2;3;2;1;39
U00280179;1530;8;10;19;0;0;4;0;41
U00280405;2390;5;2;5;1;0;0;0;13
U00280416;2740;4;3;7;1;1;1;0;17
U00280612;18360;17;8;65;2;3;4;0;99
U00280739;2600;11;11;21;1;1;3;1;49
U00280824;11100;4;1;19;1;7;4;0;36
U00280866;1110;8;7;15;2;1;2;0;35
U00281007;1160;4;5;15;1;1;2;0;28
U00281017;3900;5;4;7;3;1;1;1;22
U00281020;37860;11;13;25;3;2;4;0;58
U00281038;2180;22;13;78;1;1;5;1;121
U00281059;7490;7;1;26;0;9;6;0;49
U00281175;6630;9;6;15;1;1;3;1;36
U00281215;2930;4;2;19;1;6;4;1;37
U00281477;2880;7;1;26;0;8;5;2;49
U00281498;1170;6;5;13;4;0;0;1;29
U00281533;10890;11;6;42;0;1;3;0;63
U00281560;2010;4;3;9;3;0;1;1;21
U00281645;6890;4;3;9;1;0;1;0;18
